Тип	сабвуфер
Входы	высокоуровневый (клеммы)
Акустическое оформление	фазоинверторного типа
Частотный диапазон	30 – 160 Гц
Мощность	100 Вт
Диаметр	203 мм
Чувствительность	93 дБ
Материал корпуса	ДВП
Сопротивление	6 Ом
Размеры (ШхВхГ)	41x32x39 см
Вес	14 кг
Тип установки: напольный; Тип: пассивный; Акустическое оформление: фазоинверторного типа; Мощность (Вт): 100; Чувствительность (дБ): 93; Импеданс (Ом): 6; Диаметр динамика (мм): 203; Материал отделки: ДВП; Габариты (см): 41×32×39.
