Тип	ЖК-телевизор, QLED
Диагональ	77 дюймов (195см)
Формат экрана	16:9
Разрешение	3840x2160 ppi
Разрешение HD	4K (Ultra HD)
Стандарт HDR	HDR10, Dolby Vision
Частота обновления	40 - 120 Гц
Доступ в интернет (Smart TV)	есть
Автоматическое выравнивание громкости (AVL)	есть
Операционная система	Android
Год создания модели	2022
Яркость	300 кд/м²
Угол обзора	178°
Поддержка стереозвука NICAM	есть
Мощность звука	20 Вт ( 2х10 Вт)
Акустическая система	2.2 CH
Сабвуфер	10 Вт (2х5 Вт)
Объемное звучание	есть
Декодер Dolby Digital	DTS
Версия интерфейса HDMI	HDMI Quick Switch
Поддержка Wi-Fi	Встроенный Wi-Fi
Поддержка DLNA	есть
Встроенная память	16 Гб
Таймер сна	есть
Поддержка телевизионных стандартов	PAL, SECAM
Входы	Композитный вход (AV) есть (гибридный вход для акустической системы S-Center Speaker (1 боковой мини-разъем))
Выходы	Аудиовыход (3,5-мм гнездо для наушников, Цифровой аудиовыход (оптический))
Слот для CI/PCMCIA	есть
Контрастность	OLED XR Contrast, XR HDR Remaster, алгоритм системы динамической подсветки, технология Pixel Contrast Booster
Особенности	Автопоиск каналов, электронный телегид,Поддержка Time Shift (сдвига времени просмотра), Таймер включения/выключения,Приём аналогового сигнала,Субтитры
Управление	Управление ТВ с помощью смартфона
Тип матрицы	OLED
Потребляемая мощность	154 Вт, Потребляемая мощность в режиме ожидания 0,50 Вт
Bluetooth адаптер	Поддержка передачи звука через Bluetooth
Цвет	Черный
Размеры без подставки (ШxВxГ)	1722x999x54 мм
Размеры с подставкой (ШxВxГ)	1722x1022x367 мм
Вес с подставкой	28,9 кг
Дополнительная информация	Настольная подставка есть Настенное крепление нет, доп.опция Пульт ДУ есть Батарейки (для пульта ДУ) есть Кабель питания есть Документация есть
Стандарт крепления VESA	300×300 мм
Голосовой помощник	есть
Разъемы и интерфейсы	Разъем HDMI - 4 шт. (2.1) HDMI CEC, Разъем USB 3 шт.,Ethernet (LAN
Поддержка мультимедиа	MKV, MPEG4, WMA, DivX, MP3, HEVC,JPEG
Поддержка цифрового ТВ	DVB-T2, DVB-C, DVB-S, DVB-S2, DVB-T
Все модели Сони 2022 оснащены операционной системой Google TV. Такие сервисы, как Нетфликс, Дисней плюс, HBO Max, Google Stadia будут установлены прямо с завода. Функции Сони будут выделены dглавном меню.Все телевизоры от X80K и выше оснащены расширенным адаптивным режимом калибровки для Netflix. Этот режим может автоматически регулировать уровень яркости в зависимости от освещения помещения. Такие серии телевизоров, как Z9K, X95K и X90K оснащены новым пультом ДУ. В нем не 49 кнопок, как в пульте 2021 года, а 25. Соответственно, этот пульт меньше по размеру.Телевизоры Sony 2022 обновленный пульт и камера.
